NºUSP,Possui pedido de Bolsa de Estudos em andamento? (A concessão de Bolsa de Estudos implicará no cancelamento da monitoria a partir do início da vigência da bolsa),Pretende se inscrever no PEEG? (O acúmulo das duas monitorias não é permitido. Caso o aluno seja selecionado nas duas modalidades precisará optar por uma delas),"Departamento de Matemática   
(Início da monitoria em 05/08/2024)","Departamento de Matemática Aplicada e Estatística  
(Início da monitoria em 05/08/2024)","Departamento de Ciências de Computação
(Início da monitoria em 05/08/2024)","Departamento de Sistemas de Computação
(Início da monitoria em 01/09/2024)",Tem interesse na monitoria voluntária (sem recebimento de bolsa)?,Média ponderada com reprovações
11780000,Não,Não,,,"01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 14-SCC0502 - Algoritmos e Estruturas de Dados I",,Sim,6.8
14590001,Não,Não,"02-SLC0602 - Geometria Analítica, 08-SMA0304 - Álgebra Linear, 11-SMA0353 - Cálculo I, 16-SMA0375 - Álgebra Linear, 21-SMA0804 - Álgebra Linear para Estatística","06-SME0300 - Cálculo Numérico (T1), 07-SME0300 - Cálculo Numérico (T2)","01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 14-SCC0502 - Algoritmos e Estruturas de Dados I","03-SSC0304 - Introdução à Programação para Engenharias (T1), 06-SSC0603 - Estrutura de Dados I",Não,8.8
12730002,Não,Sim,,,16-SCC0604 - Programação Orientada a Objetos,"06-SSC0603 - Estrutura de Dados I, 07-SSC0902 - Organização e Arquitetura de Computadores (T1)",Sim,6.9
10740003,Não,Sim,,,"01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 12-SCC0275 - Introdução a Ciencia de Dados, 14-SCC0502 - Algoritmos e Estruturas de Dados I, 16-SCC0604 - Programação Orientada a Objetos","03-SSC0304 - Introdução à Programação para Engenharias (T1), 06-SSC0603 - Estrutura de Dados I",Não,0
14740004,Não,Não,06-SMA0180 - Matemática Discreta I,,02-SCC0201 - Introdução a Ciências de Computação II (T2),,Não,8.6
12680005,Não,Não,,,"01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 14-SCC0502 - Algoritmos e Estruturas de Dados I",06-SSC0603 - Estrutura de Dados I,Não,1.9
14580006,Não,Não,"02-SLC0602 - Geometria Analítica, 03-SLC0608 - Cálculo II, 07-SMA0300 - Geometria Analítica, 08-SMA0304 - Álgebra Linear, 09-SMA0332 - Cálculo II, 11-SMA0353 - Cálculo I, 12-SMA0354 - Cálculo II, 13-SMA0355 - Cálculo III, 16-SMA0375 - Álgebra Linear, 19-SMA0501 - Cálculo I, 20-SMA0802 - Cálculo II, 21-SMA0804 - Álgebra Linear para Estatística","06-SME0300 - Cálculo Numérico (T1), 07-SME0300 - Cálculo Numérico (T2), 08-SME0306 - Métodos Numéricos e Computacionais II (T1), 09-SME0306 - Métodos Numéricos e Computacionais II (T2)","01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 14-SCC0502 - Algoritmos e Estruturas de Dados I","03-SSC0304 - Introdução à Programação para Engenharias (T1), 06-SSC0603 - Estrutura de Dados I",Não,8.7
13740007,Não,Não,,14-SME0828 - Introdução à Ciência de Dados,,,Não,0
10740003,Não,Sim,,,"01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 12-SCC0275 - Introdução a Ciencia de Dados, 14-SCC0502 - Algoritmos e Estruturas de Dados I, 16-SCC0604 - Programação Orientada a Objetos","03-SSC0304 - Introdução à Programação para Engenharias (T1), 06-SSC0603 - Estrutura de Dados I, 07-SSC0902 - Organização e Arquitetura de Computadores (T1)",Não,6.5
14570008,Não,Sim,"02-SLC0602 - Geometria Analítica, 07-SMA0300 - Geometria Analítica, 20-SMA0802 - Cálculo II","11-SME0800 - Probabilidade I, 15-SME0320 - Estatística I",,,Não,8.3
10270009,Não,Não,"02-SLC0602 - Geometria Analítica, 03-SLC0608 - Cálculo II, 07-SMA0300 - Geometria Analítica, 08-SMA0304 - Álgebra Linear, 09-SMA0332 - Cálculo II, 11-SMA0353 - Cálculo I, 12-SMA0354 - Cálculo II, 13-SMA0355 - Cálculo III, 14-SMA0356 - Cálculo IV, 16-SMA0375 - Álgebra Linear, 19-SMA0501 - Cálculo I, 20-SMA0802 - Cálculo II","01-SME0110 - Programação Matemática (T1), 02-SME0110 - Programação Matemática (T2), 06-SME0300 - Cálculo Numérico (T1), 07-SME0300 - Cálculo Numérico (T2), 14-SME0828 - Introdução à Ciência de Dados, 15-SME0320 - Estatística I","01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 03-SCC0205 - Teoria da Computação e Linguagens Formais (T1), 04-SCC0205 - Teoria da Computação e Linguagens Formais (T2), 05-SCC0213 - Metodologia de Pesquisa em Computação, 12-SCC0275 - Introdução a Ciencia de Dados, 14-SCC0502 - Algoritmos e Estruturas de Dados I, 16-SCC0604 - Programação Orientada a Objetos","02-SSC0124 - Análise e Projeto Orientados a Objetos, 03-SSC0304 - Introdução à Programação para Engenharias (T1), 04-SSC0534 - Modelagem de Sistemas de Software (T1), 05-SSC0541 - Sistemas Operacionais I, 06-SSC0603 - Estrutura de Dados I, 07-SSC0902 - Organização e Arquitetura de Computadores (T1), 08-SSC0958 - Blockchain e Criptomoedas",Não,PÓS
77770010,Não,Não,,,"01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 14-SCC0502 - Algoritmos e Estruturas de Dados I, 16-SCC0604 - Programação Orientada a Objetos","03-SSC0304 - Introdução à Programação para Engenharias (T1), 06-SSC0603 - Estrutura de Dados I",Não,7.4
14550011,Não,Não,,,,06-SSC0603 - Estrutura de Dados I,Não,7.6
12540012,Não,Não,,"06-SME0300 - Cálculo Numérico (T1), 07-SME0300 - Cálculo Numérico (T2)","01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 09-SCC0250 - Computação Gráfica, 14-SCC0502 - Algoritmos e Estruturas de Dados I, 17-SCC0650 - Computação Gráfica","03-SSC0304 - Introdução à Programação para Engenharias (T1), 06-SSC0603 - Estrutura de Dados I",Não,8.8
12550013,Sim,Não,,15-SME0320 - Estatística I,,,Não,0
13740007,Não,Não,,14-SME0828 - Introdução à Ciência de Dados,,,Não,8
14560014,Não,Não,,03-SME0142 - Álgebra Linear e Aplicações (T1),,,Não,9.1
14560015,Não,Não,,,02-SCC0201 - Introdução a Ciências de Computação II (T2),01-SSC0108 - Prática em Sistemas Digitais,Não,0
13690016,Sim,Não,,,11-SCC0260 - Interação Humano-Computador e Experiência do Usuário,04-SSC0534 - Modelagem de Sistemas de Software (T1),Não,7.3
11910017,Não,Não,,14-SME0828 - Introdução à Ciência de Dados,,,Não,6.3
11210018,Não,Sim,"02-SLC0602 - Geometria Analítica, 06-SMA0180 - Matemática Discreta I",05-SME0241 - Introdução à Modelagem Matemática,01-SCC0122 - Estrutura de Dados,,Não,7.3
13860019,Não,Sim,"03-SLC0608 - Cálculo II, 09-SMA0332 - Cálculo II, 12-SMA0354 - Cálculo II, 20-SMA0802 - Cálculo II",,,01-SSC0108 - Prática em Sistemas Digitais,Não,5.6
10690020,Não,Sim,,,"01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 11-SCC0260 - Interação Humano-Computador e Experiência do Usuário, 14-SCC0502 - Algoritmos e Estruturas de Dados I",07-SSC0902 - Organização e Arquitetura de Computadores (T1),Não,8.6
11800021,Não,Não,"02-SLC0602 - Geometria Analítica, 07-SMA0300 - Geometria Analítica, 09-SMA0332 - Cálculo II, 11-SMA0353 - Cálculo I, 12-SMA0354 - Cálculo II, 19-SMA0501 - Cálculo I, 20-SMA0802 - Cálculo II","01-SME0110 - Programação Matemática (T1), 02-SME0110 - Programação Matemática (T2)","01-SCC0122 - Estrutura de Dados, 02-SCC0201 - Introdução a Ciências de Computação II (T2), 14-SCC0502 - Algoritmos e Estruturas de Dados I, 16-SCC0604 - Programação Orientada a Objetos","03-SSC0304 - Introdução à Programação para Engenharias (T1), 06-SSC0603 - Estrutura de Dados I",Não,6.9
14550022,Não,Sim,06-SMA0180 - Matemática Discreta I,,14-SCC0502 - Algoritmos e Estruturas de Dados I,,Não,9.5
89570023,Não,Sim,,,"02-SCC0201 - Introdução a Ciências de Computação II (T2), 14-SCC0502 - Algoritmos e Estruturas de Dados I",07-SSC0902 - Organização e Arquitetura de Computadores (T1),Não,9.6
14560015,Não,Sim,,,"02-SCC0201 - Introdução a Ciências de Computação II (T2), 14-SCC0502 - Algoritmos e Estruturas de Dados I, 16-SCC0604 - Programação Orientada a Objetos","01-SSC0108 - Prática em Sistemas Digitais, 07-SSC0902 - Organização e Arquitetura de Computadores (T1)",Não,7.6
14710024,Não,Não,,"05-SME0241 - Introdução à Modelagem Matemática, 11-SME0800 - Probabilidade I, 15-SME0320 - Estatística I",,,Não,8.8
11220025,Não,Não,17-SMA0378 - Formas Diferenciais e Aplicações,,,,Não,PÓS
53400026,Não,Sim,,"11-SME0800 - Probabilidade I, 15-SME0320 - Estatística I",,,Não,0
13870027,Não,Sim,,14-SME0828 - Introdução à Ciência de Dados,12-SCC0275 - Introdução a Ciencia de Dados,,Sim,7.1
13730028,Sim,Sim,,"05-SME0241 - Introdução à Modelagem Matemática, 17-SME0341 - Álgebra Linear e Equações Diferenciais",,,Sim,0
12540029,Não,Não,,16-SME0240 - Equações Diferenciais Ordinárias,,,Não,9.1
12620030,Não,Não,21-SMA0804 - Álgebra Linear para Estatística,"03-SME0142 - Álgebra Linear e Aplicações (T1), 04-SME0142 - Álgebra Linear e Aplicações (T2), 06-SME0300 - Cálculo Numérico (T1), 07-SME0300 - Cálculo Numérico (T2), 11-SME0800 - Probabilidade I, 12-SME0809 - Inferência Bayesiana (T1), 13-SME0820 - Modelos de Regressão e Aprendizado Supervisionado 1, 14-SME0828 - Introdução à Ciência de Dados, 15-SME0320 - Estatística I, 18-SME0220 - Introdução à Teoria das Probabilidades, 19-SME0822 - Análise Multivariada e Aprendizado Não Supervisionado",,,Não,8.9
